gene_id,Geneid,GeneSymbol,Chromosome,Class,Length
ATG2A,ENSG00000110046.14,ATG2A,chr11,protein_coding,22663.0
ATG3,ENSG00000144848.11,ATG3,chr3,protein_coding,29536.0
ATG7,ENSG00000197548.13,ATG7,chr3,protein_coding,285356.0
ATP11B,ENSG00000058063.16,ATP11B,chr3,protein_coding,128126.0
ATP13A3,ENSG00000133657.17,ATP13A3,chr3,protein_coding,95692.0
ATP2B1,ENSG00000070961.17,ATP2B1,chr12,protein_coding,121317.0
ATP5F1E,ENSG00000124172.10,ATP5F1E,chr20,protein_coding,6870.0
ATP6AP2,ENSG00000182220.15,ATP6AP2,chrX,protein_coding,27476.0
ATP6V0B,ENSG00000117410.14,ATP6V0B,chr1,protein_coding,3808.0
ATP6V0D1,ENSG00000159720.13,ATP6V0D1,chr16,protein_coding,43167.0
ATP6V0E1,ENSG00000113732.9,ATP6V0E1,chr5,protein_coding,51674.0
ATP6V1A,ENSG00000114573.12,ATP6V1A,chr3,protein_coding,65286.0
ATP6V1B2,ENSG00000147416.11,ATP6V1B2,chr8,protein_coding,29438.0
ATP6V1C1,ENSG00000155097.12,ATP6V1C1,chr8,protein_coding,51988.0
ATP6V1D,ENSG00000100554.12,ATP6V1D,chr14,protein_coding,65894.0
ATP6V1E1,ENSG00000131100.13,ATP6V1E1,chr22,protein_coding,36613.0
ATP6V1G1,ENSG00000136888.8,ATP6V1G1,chr9,protein_coding,11209.0
ATRX,ENSG00000085224.23,ATRX,chrX,protein_coding,281353.0
ATXN1,ENSG00000124788.19,ATXN1,chr6,protein_coding,462379.0
ATXN7,ENSG00000163635.20,ATXN7,chr3,protein_coding,140307.0
AZIN1,ENSG00000155096.15,AZIN1,chr8,protein_coding,67753.0
B2M,ENSG00000166710.23,B2M,chr15,protein_coding,7493.0
B3GNT5,ENSG00000176597.12,B3GNT5,chr3,protein_coding,45251.0
B4GALT1,ENSG00000086062.13,B4GALT1,chr9,protein_coding,63274.0
B4GALT5,ENSG00000158470.5,B4GALT5,chr20,protein_coding,80933.0
BACH1,ENSG00000156273.16,BACH1,chr21,protein_coding,436680.0
BASP1,ENSG00000176788.9,BASP1,chr5,protein_coding,211245.0
BAZ1A,ENSG00000198604.11,BAZ1A,chr14,protein_coding,122916.0
BAZ2A,ENSG00000076108.12,BAZ2A,chr12,protein_coding,41220.0
BAZ2B,ENSG00000123636.19,BAZ2B,chr2,protein_coding,297590.0
BCAS3,ENSG00000141376.24,BCAS3,chr17,protein_coding,715385.0
BCL10,ENSG00000142867.14,BCL10,chr1,protein_coding,10856.0
BCL2A1,ENSG00000140379.9,BCL2A1,chr15,protein_coding,10304.0
BCL3,ENSG00000069399.15,BCL3,chr19,protein_coding,12339.0
BCL6,ENSG00000113916.18,BCL6,chr3,protein_coding,24348.0
BCLAF1,ENSG00000029363.17,BCLAF1,chr6,protein_coding,33224.0
BEST1,ENSG00000167995.17,BEST1,chr11,protein_coding,15452.0
BHLHE40,ENSG00000134107.5,BHLHE40,chr3,protein_coding,5886.0
BICRAL,ENSG00000112624.14,BICRAL,chr6,protein_coding,86506.0
BID,ENSG00000015475.19,BID,chr22,protein_coding,40632.0
BIN2,ENSG00000110934.13,BIN2,chr12,protein_coding,43630.0
BIRC6,ENSG00000115760.16,BIRC6,chr2,protein_coding,262548.0
BLOC1S2,ENSG00000196072.12,BLOC1S2,chr10,protein_coding,13400.0
BLTP1,ENSG00000138688.17,BLTP1,chr4,protein_coding,211836.0
BLTP3B,ENSG00000111647.13,BLTP3B,chr12,protein_coding,114419.0
BNIP2,ENSG00000140299.14,BNIP2,chr15,protein_coding,30193.0
BNIP3L,ENSG00000104765.16,BNIP3L,chr8,protein_coding,122582.0
BOD1L1,ENSG00000038219.13,BOD1L1,chr4,protein_coding,58987.0
BPTF,ENSG00000171634.19,BPTF,chr17,protein_coding,158875.0
BRAF,ENSG00000157764.14,BRAF,chr7,protein_coding,205602.0
BRD2,ENSG00000204256.14,BRD2,chr6,protein_coding,12911.0
BRD4,ENSG00000141867.19,BRD4,chr19,protein_coding,97026.0
BRI3,ENSG00000164713.10,BRI3,chr7,protein_coding,58062.0
BRWD3,ENSG00000165288.11,BRWD3,chrX,protein_coding,140374.0
BST1,ENSG00000109743.11,BST1,chr4,protein_coding,35248.0
BTG1,ENSG00000133639.6,BTG1,chr12,protein_coding,5568.0
BTG2,ENSG00000159388.6,BTG2,chr1,protein_coding,4111.0
BTNL8,ENSG00000113303.12,BTNL8,chr5,protein_coding,51829.0
BZW1,ENSG00000082153.18,BZW1,chr2,protein_coding,16744.0
C15orf39,ENSG00000167173.19,C15orf39,chr15,protein_coding,16526.0
C15orf48,ENSG00000166920.13,C15orf48,chr15,protein_coding,18182.0
C16orf54,ENSG00000185905.4,C16orf54,chr16,protein_coding,3527.0
C3AR1,ENSG00000171860.5,C3AR1,chr12,protein_coding,9515.0
C4orf3,ENSG00000164096.13,C4orf3,chr4,protein_coding,8026.0
C5AR1,ENSG00000197405.8,C5AR1,chr19,protein_coding,32043.0
C5AR2,ENSG00000134830.6,C5AR2,chr19,protein_coding,15154.0
C6orf62,ENSG00000112308.14,C6orf62,chr6,protein_coding,15964.0
C9orf72,ENSG00000147894.17,C9orf72,chr9,protein_coding,38226.0
CAB39,ENSG00000135932.12,CAB39,chr2,protein_coding,108233.0
CACUL1,ENSG00000151893.15,CACUL1,chr10,protein_coding,81082.0
CALCOCO1,ENSG00000012822.16,CALCOCO1,chr12,protein_coding,19228.0
CALCOCO2,ENSG00000136436.15,CALCOCO2,chr17,protein_coding,35504.0
CALM1,ENSG00000198668.14,CALM1,chr14,protein_coding,11766.0
CALM2,ENSG00000143933.20,CALM2,chr2,protein_coding,16837.0
CALM3,ENSG00000160014.17,CALM3,chr19,protein_coding,9708.0
CAMK1D,ENSG00000183049.14,CAMK1D,chr10,protein_coding,485998.0
CANX,ENSG00000127022.16,CANX,chr5,protein_coding,53013.0
CAP1,ENSG00000131236.18,CAP1,chr1,protein_coding,32416.0
CAPZA1,ENSG00000116489.13,CAPZA1,chr1,protein_coding,51811.0
CAPZA2,ENSG00000198898.16,CAPZA2,chr7,protein_coding,110979.0
CAPZB,ENSG00000077549.19,CAPZB,chr1,protein_coding,146764.0
CARD16,ENSG00000204397.10,CARD16,chr11,protein_coding,60105.0
CARD8,ENSG00000105483.18,CARD8,chr19,protein_coding,75176.0
CASC3,ENSG00000108349.17,CASC3,chr17,protein_coding,31853.0
CASP1,ENSG00000137752.25,CASP1,chr11,protein_coding,9853.0
CASP4,ENSG00000196954.14,CASP4,chr11,protein_coding,26500.0
CASP8,ENSG00000064012.24,CASP8,chr2,protein_coding,128393.0
CASS4,ENSG00000087589.17,CASS4,chr20,protein_coding,48275.0
CAST,ENSG00000153113.24,CAST,chr5,protein_coding,254328.0
CAT,ENSG00000121691.7,CAT,chr11,protein_coding,33126.0
CBL,ENSG00000110395.8,CBL,chr11,protein_coding,107628.0
CBX3,ENSG00000122565.19,CBX3,chr7,protein_coding,12445.0
CBX4,ENSG00000141582.15,CBX4,chr17,protein_coding,6284.0
CCDC186,ENSG00000165813.20,CCDC186,chr10,protein_coding,53370.0
CCDC69,ENSG00000198624.13,CCDC69,chr5,protein_coding,43041.0
CCDC71L,ENSG00000253276.5,CCDC71L,chr7,protein_coding,6798.0
CCL3L3,ENSG00000276085.1,CCL3L3,chr17,protein_coding,1889.0
CCL4,ENSG00000275302.2,CCL4,chr17,protein_coding,1794.0
CCL4L2,ENSG00000276070.5,CCL4L2,chr17,protein_coding,1954.0
CCND3,ENSG00000112576.13,CCND3,chr6,protein_coding,115423.0
CCNDBP1,ENSG00000166946.14,CCNDBP1,chr15,protein_coding,12059.0
CCNG2,ENSG00000138764.15,CCNG2,chr4,protein_coding,276181.0
CCNH,ENSG00000134480.16,CCNH,chr5,protein_coding,94514.0
CCNI,ENSG00000118816.11,CCNI,chr4,protein_coding,29154.0
CCNJL,ENSG00000135083.17,CCNJL,chr5,protein_coding,96313.0
CCNK,ENSG00000090061.17,CCNK,chr14,protein_coding,53875.0
CCNL1,ENSG00000163660.12,CCNL1,chr3,protein_coding,14252.0
CCNY,ENSG00000108100.18,CCNY,chr10,protein_coding,325644.0
CCR1,ENSG00000163823.4,CCR1,chr3,protein_coding,6602.0
CCRL2,ENSG00000121797.10,CCRL2,chr3,protein_coding,5831.0
CD14,ENSG00000170458.15,CD14,chr5,protein_coding,1972.0
CD164,ENSG00000135535.17,CD164,chr6,protein_coding,15953.0
CD300A,ENSG00000167851.15,CD300A,chr17,protein_coding,18395.0
CD302,ENSG00000241399.7,CD302,chr2,protein_coding,29627.0
CD37,ENSG00000104894.12,CD37,chr19,protein_coding,8164.0
CD44,ENSG00000026508.21,CD44,chr11,protein_coding,93520.0
CD46,ENSG00000117335.21,CD46,chr1,protein_coding,43476.0
CD48,ENSG00000117091.10,CD48,chr1,protein_coding,33085.0
CD53,ENSG00000143119.14,CD53,chr1,protein_coding,28734.0
CD55,ENSG00000196352.18,CD55,chr1,protein_coding,65285.0
CD58,ENSG00000116815.16,CD58,chr1,protein_coding,56505.0
CD63,ENSG00000135404.12,CD63,chr12,protein_coding,4384.0
CD74,ENSG00000019582.17,CD74,chr5,protein_coding,11332.0
CD82,ENSG00000085117.12,CD82,chr11,protein_coding,55931.0
CD83,ENSG00000112149.10,CD83,chr6,protein_coding,19662.0
CD93,ENSG00000125810.10,CD93,chr20,protein_coding,6964.0
CDA,ENSG00000158825.6,CDA,chr1,protein_coding,29817.0
CDC42EP3,ENSG00000163171.8,CDC42EP3,chr2,protein_coding,96586.0
CDC42SE1,ENSG00000197622.13,CDC42SE1,chr1,protein_coding,19354.0
CDC42SE2,ENSG00000158985.14,CDC42SE2,chr5,protein_coding,152954.0
CDK11B,ENSG00000248333.9,CDK11B,chr1,protein_coding,23787.0
CDK13,ENSG00000065883.18,CDK13,chr7,protein_coding,149459.0
CDK14,ENSG00000058091.17,CDK14,chr7,protein_coding,744166.0
CDK19,ENSG00000155111.15,CDK19,chr6,protein_coding,205980.0
CDKN1A,ENSG00000124762.14,CDKN1A,chr6,protein_coding,10877.0
CDKN1B,ENSG00000111276.12,CDKN1B,chr12,protein_coding,36871.0
CDKN2D,ENSG00000129355.7,CDKN2D,chr19,protein_coding,2599.0
CDV3,ENSG00000091527.17,CDV3,chr3,protein_coding,16575.0
CEACAM1,ENSG00000079385.23,CEACAM1,chr19,protein_coding,53930.0
CEACAM3,ENSG00000170956.17,CEACAM3,chr19,protein_coding,14967.0
CEACAM5,ENSG00000105388.17,CEACAM5,chr19,protein_coding,21848.0
CEBPB,ENSG00000172216.6,CEBPB,chr20,protein_coding,1838.0
CEBPD,ENSG00000221869.5,CEBPD,chr8,protein_coding,1251.0
CELF2,ENSG00000048740.19,CELF2,chr10,protein_coding,538278.0
CEMIP2,ENSG00000135048.14,CEMIP2,chr9,protein_coding,133324.0
CEP170,ENSG00000143702.16,CEP170,chr1,protein_coding,130920.0
CERS2,ENSG00000143418.20,CERS2,chr1,protein_coding,14420.0
CERT1,ENSG00000113163.19,CERT1,chr5,protein_coding,155793.0
CFL1,ENSG00000172757.13,CFL1,chr11,protein_coding,39004.0
CFLAR,ENSG00000003402.21,CFLAR,chr2,protein_coding,60533.0
CHD1,ENSG00000153922.12,CHD1,chr5,protein_coding,75022.0
CHD2,ENSG00000173575.24,CHD2,chr15,protein_coding,141793.0
CHD7,ENSG00000171316.14,CHD7,chr8,protein_coding,189288.0
CHI3L1,ENSG00000133048.13,CHI3L1,chr1,protein_coding,7773.0
CHIC2,ENSG00000109220.11,CHIC2,chr4,protein_coding,54816.0
CHMP1B,ENSG00000255112.3,CHMP1B,chr18,protein_coding,3031.0
CHMP2A,ENSG00000130724.10,CHMP2A,chr19,protein_coding,3653.0
CHMP3,ENSG00000115561.16,CHMP3,chr2,protein_coding,60049.0
CHMP4B,ENSG00000101421.4,CHMP4B,chr20,protein_coding,43018.0
CHP1,ENSG00000187446.12,CHP1,chr15,protein_coding,51048.0
CHST11,ENSG00000171310.11,CHST11,chr12,protein_coding,306719.0
CHST15,ENSG00000182022.18,CHST15,chr10,protein_coding,85930.0
CHSY1,ENSG00000131873.7,CHSY1,chr15,protein_coding,76321.0
CIR1,ENSG00000138433.16,CIR1,chr2,protein_coding,47690.0
CIRBP,ENSG00000099622.14,CIRBP,chr19,protein_coding,15496.0
CKAP4,ENSG00000136026.14,CKAP4,chr12,protein_coding,66398.0
CKLF,ENSG00000217555.13,CKLF,chr16,protein_coding,13688.0
CLEC12A,ENSG00000172322.14,CLEC12A,chr12,protein_coding,44378.0
CLEC2B,ENSG00000110852.5,CLEC2B,chr12,protein_coding,17017.0
CLEC4E,ENSG00000166523.8,CLEC4E,chr12,protein_coding,7600.0
CLEC7A,ENSG00000172243.18,CLEC7A,chr12,protein_coding,13481.0
CLIC1,ENSG00000213719.8,CLIC1,chr6,protein_coding,9182.0
CLIP1,ENSG00000130779.22,CLIP1,chr12,protein_coding,151237.0
CLK1,ENSG00000013441.17,CLK1,chr2,protein_coding,11682.0
CLTC,ENSG00000141367.13,CLTC,chr17,protein_coding,77272.0
CMIP,ENSG00000153815.18,CMIP,chr16,protein_coding,266954.0
CMTM2,ENSG00000140932.10,CMTM2,chr16,protein_coding,8827.0
CMTM6,ENSG00000091317.8,CMTM6,chr3,protein_coding,21540.0
CNBP,ENSG00000169714.17,CNBP,chr3,protein_coding,16095.0
CNN2,ENSG00000064666.15,CNN2,chr19,protein_coding,12482.0
CNPY3,ENSG00000137161.18,CNPY3,chr6,protein_coding,9814.0
CNTNAP3,ENSG00000106714.18,CNTNAP3,chr9,protein_coding,223605.0
COP1,ENSG00000143207.21,COP1,chr1,protein_coding,262455.0
COPA,ENSG00000122218.17,COPA,chr1,protein_coding,54972.0
COQ10B,ENSG00000115520.9,COQ10B,chr2,protein_coding,21817.0
CORO1A,ENSG00000102879.17,CORO1A,chr16,protein_coding,6249.0
CORO1C,ENSG00000110880.11,CORO1C,chr12,protein_coding,86417.0
COTL1,ENSG00000103187.8,COTL1,chr16,protein_coding,52482.0
COX6B1,ENSG00000126267.11,COX6B1,chr19,protein_coding,10459.0
CPD,ENSG00000108582.12,CPD,chr17,protein_coding,91062.0
CPEB2,ENSG00000137449.17,CPEB2,chr4,protein_coding,67672.0
CPEB4,ENSG00000113742.14,CPEB4,chr5,protein_coding,73631.0
CPPED1,ENSG00000103381.12,CPPED1,chr16,protein_coding,144088.0
CPQ,ENSG00000104324.16,CPQ,chr8,protein_coding,504412.0
CR1,ENSG00000203710.12,CR1,chr1,protein_coding,145618.0
CREB1,ENSG00000118260.15,CREB1,chr2,protein_coding,76251.0
CREB5,ENSG00000146592.17,CREB5,chr7,protein_coding,526573.0
CREBBP,ENSG00000005339.15,CREBBP,chr16,protein_coding,155659.0
CREBRF,ENSG00000164463.12,CREBRF,chr5,protein_coding,82932.0
CREM,ENSG00000095794.21,CREM,chr10,protein_coding,86167.0
CRISPLD2,ENSG00000103196.12,CRISPLD2,chr16,protein_coding,100783.0
CRK,ENSG00000167193.8,CRK,chr17,protein_coding,42473.0
CRLF3,ENSG00000176390.12,CRLF3,chr17,protein_coding,55304.0
CSDE1,ENSG00000009307.17,CSDE1,chr1,protein_coding,41763.0
CSF2RB,ENSG00000100368.15,CSF2RB,chr22,protein_coding,26811.0
CSF3R,ENSG00000119535.20,CSF3R,chr1,protein_coding,17235.0
CSGALNACT1,ENSG00000147408.16,CSGALNACT1,chr8,protein_coding,353868.0
CSGALNACT2,ENSG00000169826.8,CSGALNACT2,chr10,protein_coding,46857.0
CSNK1A1,ENSG00000113712.19,CSNK1A1,chr5,protein_coding,58489.0
CSNK1D,ENSG00000141551.15,CSNK1D,chr17,protein_coding,34677.0
CSRNP1,ENSG00000144655.15,CSRNP1,chr3,protein_coding,12707.0
CST7,ENSG00000077984.6,CST7,chr20,protein_coding,10659.0
CSTA,ENSG00000121552.4,CSTA,chr3,protein_coding,16721.0
CSTB,ENSG00000160213.9,CSTB,chr21,protein_coding,3819.0
CTBS,ENSG00000117151.13,CTBS,chr1,protein_coding,24869.0
CTDSP1,ENSG00000144579.9,CTDSP1,chr2,protein_coding,8805.0
CTDSP2,ENSG00000175215.11,CTDSP2,chr12,protein_coding,26802.0
CTSC,ENSG00000109861.17,CTSC,chr11,protein_coding,94615.0
CTSS,ENSG00000163131.12,CTSS,chr1,protein_coding,35878.0
CUL3,ENSG00000036257.14,CUL3,chr2,protein_coding,115247.0
CUX1,ENSG00000257923.12,CUX1,chr7,protein_coding,468054.0
CWC25,ENSG00000273559.5,CWC25,chr17,protein_coding,24914.0
CXCL1,ENSG00000163739.5,CXCL1,chr4,protein_coding,1915.0
CXCL16,ENSG00000161921.17,CXCL16,chr17,protein_coding,6395.0
CXCL8,ENSG00000169429.12,CXCL8,chr4,protein_coding,3197.0
CXCR1,ENSG00000163464.8,CXCR1,chr2,protein_coding,4121.0
CXCR2,ENSG00000180871.8,CXCR2,chr2,protein_coding,11962.0
CXCR4,ENSG00000121966.8,CXCR4,chr2,protein_coding,4828.0
CYB5R4,ENSG00000065615.14,CYB5R4,chr6,protein_coding,107767.0
CYBA,ENSG00000051523.12,CYBA,chr16,protein_coding,7808.0
CYFIP2,ENSG00000055163.21,CYFIP2,chr5,protein_coding,129516.0
CYLD,ENSG00000083799.18,CYLD,chr16,protein_coding,59885.0
CYP4F3,ENSG00000186529.16,CYP4F3,chr19,protein_coding,21928.0
CYRIA,ENSG00000197872.11,CYRIA,chr2,protein_coding,116872.0
CYRIB,ENSG00000153310.22,CYRIB,chr8,protein_coding,177911.0
CYSTM1,ENSG00000120306.11,CYSTM1,chr5,protein_coding,106896.0
CYTH1,ENSG00000108669.18,CYTH1,chr17,protein_coding,108249.0
CYTH4,ENSG00000100055.21,CYTH4,chr22,protein_coding,33314.0
CYTIP,ENSG00000115165.10,CYTIP,chr2,protein_coding,74342.0
DAPK2,ENSG00000035664.11,DAPK2,chr15,protein_coding,164997.0
DAZAP2,ENSG00000183283.16,DAZAP2,chr12,protein_coding,32638.0
DBNL,ENSG00000136279.21,DBNL,chr7,protein_coding,24816.0
DCP2,ENSG00000172795.17,DCP2,chr5,protein_coding,45493.0
DCUN1D3,ENSG00000188215.10,DCUN1D3,chr16,protein_coding,45433.0
DDIT3,ENSG00000175197.13,DDIT3,chr12,protein_coding,5149.0
DDIT4,ENSG00000168209.6,DDIT4,chr10,protein_coding,2117.0
DDX17,ENSG00000100201.23,DDX17,chr22,protein_coding,24222.0
DDX21,ENSG00000165732.14,DDX21,chr10,protein_coding,28933.0
DDX3X,ENSG00000215301.11,DDX3X,chrX,protein_coding,31124.0
DDX3Y,ENSG00000067048.17,DDX3Y,chrY,protein_coding,16370.0
DDX5,ENSG00000108654.16,DDX5,chr17,protein_coding,9945.0
DDX6,ENSG00000110367.14,DDX6,chr11,protein_coding,43401.0
DDX60L,ENSG00000181381.15,DDX60L,chr4,protein_coding,181051.0
DEDD2,ENSG00000160570.14,DEDD2,chr19,protein_coding,21542.0
